eng,pa
"You shall not, either on your own or through any other person:Restrict or inhibit any other person from using the SiteUse the Site for any unlawful purposeExpress or imply that any statements you make are endorsed by us, without our prior written consentImpersonate any person or entity, whether actual or fictitiousEngage in spamming or floodingHarvest or collect information about Site usersOpen multiple accounts for yourself or any other individual using multiple mobile numbersSubmit any software or other materials that contain any viruses, worms, Trojan horses, defects, date bombs, time bombs or other items of destructive natureManipulate identifiers, including by forging headers, in order to disguise the origin of any posting that you submitLink to any portion of the Site other than the URL assigned to the home page of the Site“Frame” or “Mirror” any part of the SiteModify, adapt, sub-license, translate, sell, reverse engineer, decompile or disassemble any portion of the Site, or otherwise attempt to derive any source code or underlying ideas or algorithms of any part of the ContentRemove any copyright, trademark or other proprietary rights notices contained on the SiteUse any computer program, bot, robot, spider, offline reader, site search/retrieval application or other manual or automatic device, tool, or process to retrieve, index, data mine, or in any way reproduce or circumvent the security structure, navigational structure, or presentation of the Content or the Site, including with respect to any CAPTCHA displayed on the Site.Use any automated software or computer system to search for or book appointment including sending information from your computer to another computer where such software or system is activeTake any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","ਤੁਸੀਂ ਆਪਣੇ ਆਪ ਜਾਂ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਦੁਆਰਾ ਇਹ ਨਹੀਂ ਕਰ ਸਕਦੇਃਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਨੂੰ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨ ਤੋਂ ਰੋਕਣਾ ਜਾਂ ਵਰਜਣਾਕਿਸੇ ਵੀ ਗੈਰ-ਕਾਨੂੰਨੀ ਉਦੇਸ ਲਈ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨਾਸਾਡੀ ਪੂਰਵ ਲਿਖਤੀ ਸਹਿਮਤੀ ਤੋਂ ਬਿਨਾਂ ਜਾਹਰ ਕਰਨਾ ਜਾਂ ਸੰਕੇਤ ਕਰਨਾ ਕਿ ਤੁਹਾਡੇ ਕਿਸੇ ਵੀ ਬਿਆਨ ਨੂੰ ਸਾਡੇ ਦੁਆਰਾ ਤਸਦੀਕ ਕੀਤਾ ਗਿਆ ਹੈਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਜਾਂ ਹਸਤੀ ਦੀ ਨਕਲ ਕਰਨਾ, ਭਾਵੇਂ ਅਸਲ ਜਾਂ ਕਾਲਪਨਿਕ ਹੋਵੇਸਪੈਮਿੰਗ ਜਾਂ ਫਲਡਿੰਗ ਵਿੱਚ ਸਾਮਿਲ ਹੋਣਾਸਾਈਟ ਉਪਭੋਗਤਾਵਾਂ ਬਾਰੇ ਜਾਣਕਾਰੀ ਪ੍ਰਾਪਤ ਕਰਨਾ ਜਾਂ ਇਕੱਠੀ ਕਰਨਾਕਈ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਆਪਣੇ ਲਈ ਜਾਂ ਕਿਸੇ ਹੋਰ ਵਿਅਕਤੀ ਲਈ ਕਈ ਖਾਤੇ ਖੋਲ੍ਹਣਾਕੋਈ ਵੀ ਸੌਫਟਵੇਅਰ ਜਾਂ ਹੋਰ ਸਮੱਗਰੀ ਜਮ੍ਹਾਂ ਕਰਨਾ ਜਿਸ ਵਿੱਚ ਕੋਈ ਵੀ ਵਾਇਰਸ, ਵੋਰਮਜ, ਟਰੋਜਨ ਹਾਰਸ, ਨੁਕਸ, ਡੇਟ ਬੰਬ, ਟਾਈਮ ਬੰਬ ਜਾਂ ਵਿਨਾਸਕਾਰੀ ਸੁਭਾਹ ਦੀਆਂ ਹੋਰ ਚੀਜਾਂ ਸਾਮਲ ਹੋਣ।ਤੁਹਾਡੇ ਦੁਆਰਾ ਜਮ੍ਹਾਂ ਕੀਤੀ ਕਿਸੇ ਵੀ ਪੋਸਟਿੰਗ ਦੇ ਮੂਲ ਨੂੰ ਛੁਪਾਉਣ ਲਈ, ਜਾਅਲੀ ਸਿਰਲੇਖਾਂ ਸਮੇਤ ਪਛਾਣਕਰਤਾਵਾਂ ਵਿੱਚ ਸੋਧ ਕਰਨੀਸਾਈਟ ਦੇ ਹੋਮ ਪੇਜ ਨੂੰ ਨਿਰਧਾਰਤ URL ਤੋਂ ਇਲਾਵਾ ਸਾਈਟ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨਾਲ ਲਿੰਕ ਕਰਨਾਸਾਈਟ ਦਾ ਕੋਈ ਵੀ ਹਿੱਸਾ ""ਫ੍ਰੇਮ"" ਜਾਂ ""ਮਿਰਰ"" ਕਰਨਾਸਾਈਟ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਨੂੰ ਸੰਸੋਧਿਤ, ਅਨੁਕੂਲਿਤ, ਉਪ-ਲਾਇਸੈਂਸ, ਅਨੁਵਾਦ, ਵਿਕਰੀ, ਉਲਟ ਇੰਜੀਨੀਅਰ, ਅਲੱਗ ਜਾਂ ਵਿਘਟਿਤ ਕਰਨਾ, ਜਾਂ ਕਿਸੇ ਵੀ ਸਰੋਤ ਕੋਡ ਜਾਂ ਸਮੱਗਰੀ ਦੇ ਕਿਸੇ ਵੀ ਹਿੱਸੇ ਦੇ ਅੰਤਰੀਵ ਵਿਚਾਰ ਜਾਂ ਐਲਗੋਰਿਦਮ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰਨ ਦੀ ਕੋਸਿਸ ਕਰਨਾ।ਸਾਈਟ 'ਤੇ ਮੌਜੂਦ ਕਿਸੇ ਵੀ ਕਾਪੀਰਾਈਟ, ਟ੍ਰੇਡਮਾਰਕ ਜਾਂ ਹੋਰ ਮਲਕੀਅਤ ਅਧਿਕਾਰ ਨੋਟਿਸਾਂ ਨੂੰ ਹਟਾਓਣਾਕਿਸੇ ਵੀ ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮ, ਬੋਟ, ਰੋਬੋਟ, ਸਪਾਇਡਰ, ਔਫਲਾਈਨ ਰੀਡਰ, ਸਾਈਟ ਖੋਜ/ ਐਪਲੀਕੇਸਨ ਜਾਂ ਹੋਰ ਮੈਨੂਅਲ ਜਾਂ ਸਵੈਚਲਿਤ ਡਿਵਾਈਸ ਸੁਧਾਰ, ਟੂਲ, ਜਾਂ ਸੂਚਕਾਂਕ, ਡੇਟਾ ਮਾਈਨ ਪ੍ਰਕਿਰਿਆ ਵਿੱਚ ਸੁਧਾਰ ਕਰਨਾ, ਜਾਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸੁਰੱਖਿਆ ਢਾਂਚਾ, ਨੇਵੀਗੇਸਨਲ ਢਾਂਚਾ, ਜਾਂ ਸਮੱਗਰੀ ਜਾਂ ਸਾਈਟ ਦੀ ਪੇਸਕਾਰੀ, ਜਿਸ ਵਿੱਚ ਸਾਈਟ 'ਤੇ ਪ੍ਰਦਰਸਿਤ ਕੈਪਚਾ ਵੀ ਸਾਮਲ ਹੈ ਦਾ ਪੁਨਰਗਠਨ ਜਾਂ ਇਸਨੂੰ ਨਾਕਾਮ ਕਰਨਾ।ਕਿਸੇ ਵੀ ਸਵੈਚਲਿਤ ਸੌਫਟਵੇਅਰ ਜਾਂ ਕੰਪਿਊਟਰ ਸਿਸਟਮ ਦੀ ਵਰਤੋਂ ਮੁਲਾਕਾਤ ਖੋਜਣ ਜਾਂ ਬੁੱਕ ਕਰਨ ਲਈ ਕਰਨਾ ਜਿਸ ਵਿੱਚ ਆਪਣੇ ਕੰਪਿਊਟਰ ਤੋਂ ਕਿਸੇ ਹੋਰ ਕੰਪਿਊਟਰ ਨੂੰ ਜਾਣਕਾਰੀ ਭੇਜਣਾ ਸਾਮਿਲ ਹੈ ਜਿੱਥੇ ਅਜਿਹਾ ਸਾਫਟਵੇਅਰ ਜਾਂ ਸਿਸਟਮ ਕਿਰਿਆਸੀਲ ਹੈ।ਕੋਈ ਅਜਿਹੀ ਕਾਰਵਾਈ ਕਰਨਾ ਜੋ ਸਾਡੇ ਬੁਨਿਆਦੀ ਢਾਂਚੇ 'ਤੇ ਇੱਕ ਗੈਰ-ਵਾਜਬ ਜਾਂ ਅਸਪਸਟ ਤੌਰ 'ਤੇ ਵੱਡਾ ਬੋਝ (ਸਾਡੀ ਮਰਜੀ ਨਾਲ) ਥੋਪ ਸਕਦਾ ਹੈ।ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਜਾਂ ਸਾਈਟ ਜਾਂ ਸਮੱਗਰੀ ਦੇ ਵਿਉਤ੍ਪ੍ਨ ਕੰਮਾਂ ਨੂੰ ਦੁਬਾਰਾ ਤਿਆਰ ਕਰਨਾ, ਸੋਧਣਾ, ਪ੍ਰਦਰਸਿਤ ਕਰਨਾ, ਜਨਤਕ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ ਕਰਨਾ, ਵੰਡਣਾ ਜਾਂ ਬਣਾਓਣਾਕਿਸੇ ਵੀ ਤਕਨੀਕੀ ਉਪਾਅ ਨੂੰ ਰੋਕਣ ਲਈ ਤਿਆਰ ਕੀਤੀ ਗਈ ਕਿਸੇ ਡਿਵਾਈਸ, ਪ੍ਰੋਗਰਾਮ ਜਾਂ ਸੇਵਾ ਦੇ ਨਾਲ, ਸਾਈਟ ਅਤੇ/ਜਾਂ ਸਮਗਰੀ ਤੱਕ ਪਹੁੰਚ, ਜਾਂ ਅਧਿਕਾਰਾਂ ਨੂੰ, ਜਿਸ ਵਿੱਚ ਸੀਮਾ ਤੋਂ ਬਿਨਾਂ, ਮੈਨੂਅਲ ਡੀਕੋਡ, ਡੀਕ੍ਰਿਪਟ, ਸੋਧ, ਜਾਂ ਉਲਟ ਇੰਜੀਨੀਅਰ ਸਰਟੀਫਿਕੇਟ ਜਾਂ ਅੰਤਰੀਵ ਐਲਗੋਰਿਦਮ ਜਾਂ ਸਵੈਚਲਿਤ ਡਿਵਾਈਸ ਜਾਂ ਪ੍ਰਕਿਰਿਆ, ਕਿਸੇ ਵੀ ਉਦੇਸ ਲਈ ਪ੍ਰਭਾਵਸਾਲੀ ਢੰਗ ਨਾਲ ਨਿਯੰਤਰਿਤ ਕਰਦੀ ਹੈਤੁਸੀਂ ਭਾਗੀਦਾਰਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਲਈ ਸਾਈਟ ਦੁਆਰਾ ਖੋਜ ਕਰਨ ਲਈ ਬੋਟ ਤਕਨਾਲੋਜੀ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰੋਗੇ; ਸੱਕ ਤੋਂ ਬਚਣ ਲਈ, ਇਹ ਵਿਸੇਸ ਤੌਰ 'ਤੇ ਤੁਹਾਨੂੰ ਸਾਈਟ 'ਤੇ ਸਵੈਚਲਿਤ ਸਕ੍ਰਿਪਟ ਅਧਾਰਤ ਜਾਂ ਸਵੈਚਲਿਤ ਸੌਫਟਵੇਅਰ ਦੀ ਵਰਤੋਂ ਕਰਨ ਤੋਂ ਮਨ੍ਹਾ ਕਰਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਸਾਈਟ 'ਤੇ ਕਿਸੇ ਵੀ ਸੁਰੱਖਿਆ ਮਾਪ, ਪ੍ਰਵੇਸ ਨਿਯੰਤਰਣ ਪ੍ਰਣਾਲੀ, ਜਾਂ ਸਾਈਟ 'ਤੇ ਹੋਰ ਤਕਨੀਕੀ ਨਿਯੰਤਰਣ ਜਾਂ ਮਾਪ ਨੂੰ ਰੋਕਣ ਤੋਂ ਮਨ੍ਹਾ ਕਰਦਾ ਹੈ ਜੋ ਭਾਗੀਦਾਰੀ ਨੂੰ ਲਾਗੂ ਕਰਨ ਜਾਂ ਇੱਕ ਮੋਬਾਈਲ ਨੰਬਰ ਨਾਲ ਜੁੜੇ ਭਾਗੀਦਾਰਾਂ ਦੇ ਨਿਯਮਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਦੀ ਇਕਸਾਰਤਾ ਨੂੰ ਕਾਇਮ ਰੱਖਣ ਲਈ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ"
Training on ICT Platform under POSHAN Abhiyaan,ਪੋਸਣ ਅਭਿਆਨ ਤਹਿਤ ਆਈਸੀਟੀ ਪਲੇਟਫਾਰਮ 'ਤੇ ਸਿਖਲਾਈ
Barasat - I Addl.,ਬਾਰਾਸਾਤ - I ਏਡੀਡੀਐਲ.
"Know more about stunting, wasting and underweight","ਵਾਧਾ ਰੁਕਣਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਵਜਨ ਬਾਰੇ ਹੋਰ ਜਾਣੋ"
What information to be added in AWC forms?,ਏਡਬਲਯੂਸੀ ਦੇ ਰੂਪਾਂ ਵਿਚ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਸਾਮਲ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ?
Mathavaram Rural @ Puzhal,ਮਾਥਾਵਰਮ ਪੇਂਡੂ ਉਰਫ ਪੁਝਲ
How to revive your health if you are Moderately Wasted (MAM),ਜੇ ਤੁਸੀਂ ਮੱਧਮ ਤੌਰ 'ਤੇ ਦੁਰਬਲ ਹੋ (ਐਮਏਐਮ) ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ
AWC Workers Registered In Last 30 Days,ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਏਡਬਲਯੂਸੀ ਵਰਕਰ ਰਜਿਸਟਰਡ
Daman & Diu,ਦਮਨ ਅਤੇ ਦਿਉ
Lahaul & Spiti,ਲਾਹੌਲ ਅਤੇ ਸਪੀਤੀ
Katwa - I,ਕਟਵਾ- I
OPEN A NEW TICKET,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਖੋਲ੍ਹੋ
Lower Dibang Valley,ਲੋਅਰ ਦਿਬਾਂਗ ਵੈਲੀ
Click on above button to get this App,ਇਸ ਐਪ ਨੂੰ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਉਪਰੋਕਤ ਬਟਨ ਤੇ ਕਲਿਕ ਕਰੋ
Please Enter Valid Name,ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਨਾਮ ਦਰਜ ਕਰੋ
1. INFORMATION WE COLLECT,1. ਜਾਣਕਾਰੀ ਜੋ ਅਸੀਂ ਇਕੱਠੀ ਕਰਦੇ ਹਾਂ
Beneficiaries Registered In Last 30 Days,ਲਾਭਪਾਤਰੀਆਂ ਨੇ ਪਿਛਲੇ 30 ਦਿਨਾਂ ਵਿੱਚ ਰਜਿਸਟਰ ਕੀਤਾ
Gopiballabhpur - II,ਗੋਪੀਬੱਲਭਪੁਰ - II
Darjeeling PulBazar.Addl,ਦਾਰਜੀਲਿੰਗ ਪੁਲਬਾਜਾਰ ਏਡੀਡੀਐਲ
Specifications of Smart phone and Technical Compatibility Testing,ਸਮਾਰਟ ਫੋਨ ਅਤੇ ਤਕਨੀਕੀ ਅਨੁਕੂਲਤਾ ਟੈਸਟਿੰਗ ਦੀਆਂ ਵਿਸੇਸਤਾਵਾਂ
Preparation During Pregnancy - For NewBorn Care & Family Planning,ਗਰਭ ਅਵਸਥਾ ਦੌਰਾਨ ਤਿਆਰੀ - ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਦੀ ਦੇਖਭਾਲ ਅਤੇ ਪਰਿਵਾਰ ਨਿਯੋਜਨ ਲਈ
Please select Project,ਕਿਰਪਾ ਕਰਕੇ ਪ੍ਰੋਜੈਕਟ ਚੁਣੋ
Please Select Query Related to,ਕਿਰਪਾ ਕਰਕੇ ਦਸੋ ਪੁੱਛਗਿੱਛ ਕਿਸ ਬਾਰੇ ਹੈ
 IV. ACCOUNT REGISTRATION, IV. ਖਾਤਾ ਰਜਿਸਟ੍ਰੇਸਨ
Stunting ( Height for Age)-,ਰੁਕਿਆ ਵਾਧਾ (ਉਮਰ ਅਨੁਸਾਰ ਕੱਦ)
Binpur - II Adl.,ਬਿਨਪੁਰ - II ਏਡੀਐਲ.
Pakyong Rural Project,ਪਾਕਯੋਂਗ ਪੇਂਡੂ ਪ੍ਰੋਜੈਕਟ
Wasted Assessment Parameters,ਦੁਰਬਲਤਾ ਦੇ ਮੁਲਾਂਕਣ ਦਾ ਮਾਪਦੰਡ
Sangam Vihar Ii,ਸੰਗਮ ਵਿਹਾਰ Ii
Shri Ram Colony,ਸ੍ਰੀ ਰਾਮ ਕਲੋਨੀ
Ranaghat 1 Exsiting,ਰਣਘਾਟ1 ਬਾਹਰੀ
Mathabhanga I Addl,ਮਠਭੰਗਾ I ਏਡੀਡੀਐਲ
Stunting is the impaired growth and development that children experience from poor nutrition,ਅਵਿਕਸਿਤਤਾ ਇੱਕ ਅਸਮਰਥ ਵਾਧਾ ਅਤੇ ਵਿਕਾਸ ਹੈ ਜੋ ਬੱਚਿਆਂ ਨੂੰ ਮਾੜੇ ਪੋਸਣ ਕਾਰਨ ਹੁੰਦਾ ਹੈ
Children in the age group of 3 years to 6 years,3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਦੀ ਉਮਰ ਦੇ ਬੱਚੇ
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","ਡੈਸਬੋਰਡ ਤੇ ਸਾਈਨ ਕਰਕੇ ਪੋਸਣ ਟ੍ਰੈਕਰ ਡੈਸਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ.  https://poshantracker.in/admin  ਲਿੰਕ ਤੇ ਕਲਿਕ ਕਰਕੇ ਡੈਸਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ, ਸਿਰਫ ਨੈਸਨਲ ਵਿਖੇ ਨਾਮਜਦ ਨੋਡਲ ਪੱਧਰ ਦੇ ਅਧਿਕਾਰੀ, ਰਾਜ, ਜਿਲ੍ਹਾ, ਪ੍ਰਾਜੈਕਟ ਅਤੇ ਸੈਕਟਰ ਪੱਧਰ ਡੈਸਬੋਰਡ ਤੇ ਪਹੁੰਚਣ ਲਈ ਵਿਲੱਖਣ ਪ੍ਰਮਾਣ ਪੱਤਰ ਪ੍ਰਦਾਨ ਕੀਤੇ ਜਾਂਦੇ ਹਨ।"
Please enter valid Weight,ਕਿਰਪਾ ਕਰਕੇ ਉਚਿਤ ਵਜਨ ਦਾਖਲ ਕਰੋ
Khargone (West Nimar),ਖਰਗੋਨ
 Md. Bazar Addl., ਐਮਡੀ. ਬਜਾਰ ਏਡੀਡੀਐਲ.
What is the eligibility of a beneficiary?,ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?
Who are the target userbase of Poshan Tracker App?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਦੇ ਟਾਰਗੇਟ ਯੂਜਰਬੇਸ ਕੌਣ ਹਨ?
Kanpur Nagar City 1,ਕਾਨਪੁਰ ਨਗਰ ਸਹਿਰ 1
How Poshan Tracker Works,ਪੋਸਨ ਟ੍ਰੈਕਰ ਕਿਵੇਂ ਕੰਮ ਕਰਦਾ ਹੈ
Kalna - I Addl.,ਕਾਲਨਾ - I ਏਡੀਡੀਐਲ.
Home visits and Counselling,ਘਰੇਲੂ ਦੌਰੇ ਅਤੇ ਕਾਉਂਸਲਿੰਗ
Kusheshwar Asthan Purbi,ਕੁਸੇਸਵਰ ਅਸਥਾਨ ਪੁਰਬੀ
Mandirbazar ICDS Project,ਮੰਦਰਬਾਜਾਰ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Awareness to Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ
"It often indicates recent and severe weight loss, although it can also persist for a long time","ਇਹ ਅਕਸਰ ਤਾਜਾ ਅਤੇ ਗੰਭੀਰ ਭਾਰ ਘਟਾਉਣ ਦਾ ਸੰਕੇਤ ਦਿੰਦਾ ਹੈ, ਹਾਲਾਂਕਿ ਇਹ ਲੰਬੇ ਸਮੇਂ ਲਈ ਵੀ ਜਾਰੀ ਰਹਿ ਸਕਦਾ ਹੈ"
 X. ACCESS FROM OUTSIDE INDIA, X. ਭਾਰਤ ਦੇ ਬਾਹਰੋਂ ਪ੍ਰਵੇਸ
Kaliachak - II,ਕਾਲਿਚਕ - II
Machkhowa Icds Project,ਮਖਖੋਵਾ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
What is the minimum requirement to install Poshan Tracker App in mobile?,ਮੋਬਾਈਲ ਵਿੱਚ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਨੂੰ ਸਥਾਪਤ ਕਰਨ ਲਈ ਘੱਟੋ ਘੱਟ ਲੋੜ ਕੀ ਹੈ?
SHRI ANANDPUR SAHIB,ਸ੍ਰੀ ਅਨੰਦਪੁਰ ਸਾਹਿਬ
"Khar (West),Santacruze (East)","ਖਾਰ (ਪੱਛਮੀ), ਸੈਂਟਾਕਰੂਜ (ਪੂਰਬ)"
Create new ticket,ਨਵੀਂ ਟਿਕਟ ਬਣਾਓ
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,ਤੁਸੀਂ ਸਿਰਫ ਦਸਤਾਵੇਜ ਵਿੱਚ ਵਰਣਨ ਕੀਤੇ ਸਾਧਨਾਂ ਦੁਆਰਾ ਸਾਈਟ ਤੇ ਪ੍ਰਵੇਸ (ਜਾਂ ਐਕਸੈਸ ਕਰਨ ਦੀ ਕੋਸਿਸ) ਕਰੋਗੇ ਅਤੇ ਇਸ ਸਮਝੌਤੇ ਦੇ ਨਿਯਮਾਂ ਅਤੇ ਸਰਤਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਗੇ।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","ਤੁਸੀਂ ਸਾਰੇ ਕੇਂਦਰੀ ਅਤੇ ਰਾਜ ਦੇ ਕਾਨੂੰਨਾਂ, ਨਿਯਮਾਂ ਅਤੇ ਵਿਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋਗੇ ਜੋ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਦੁਆਰਾ ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਤੇ ਲਾਗੂ ਹੁੰਦੇ ਹਨ ਅਤੇ ਕਿਸੇ ਵੀ ਤੀਜੀ-ਧਿਰ ਦੇ ਅਧਿਕਾਰਾਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰ ਸਕਦੇ ਹਨ।"
ROURKELE CIVIL TOWNSHIP,ਰੌਰਕੇਲੇ ਸਿਵਲ ਟਾਊਨਸਿਪ
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,ਐਲਡੀਐਚ ਸਹਿਰੀ 4
"Welcome!The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","ਜੀ ਆਇਆਂ ਨੂੰ!ਹੇਠਾਂ ਦਿੱਤੀਆਂ ਸੇਵਾ ਦੀਆਂ ਸਰਤਾਂ (""ਸਰਤਾਂ"") ਹਨ ਜੋ https://poshantracker.in 'ਤੇ ਹੋਸਟ ਕੀਤੇ ਪੋਸਣ ਟਰੈਕਰ ਪਲੇਟਫਾਰਮ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਨੂੰ ਨਿਯੰਤ੍ਰਿਤ ਕਰਦੀਆਂ ਹਨ, ਅਤੇ ਸਾਰੀਆਂ ਸੰਬੰਧਿਤ ਸਾਈਟਾਂ ਇਸ ਨੂੰ, ਇਸਦੀਆਂ ਸਹਾਇਕ ਕੰਪਨੀਆਂ ਨਾਲ ਲਿੰਕ ਕੀਤੀਆਂ ਹਨ (ਸਮੂਹਿਕ ਤੌਰ 'ਤੇ, ""ਸਾਈਟ"")।"
Burdwan - I,ਬਰਦਵਾਨ- I
Project 4 Singanallur,ਪ੍ਰੋਜੈਕਟ 4 ਸਿੰਗਾਨਲੁਰ
Select Key Performance Indicator,ਕੁੰਜੀ ਪ੍ਰਦਰਸਨ ਸੂਚਕ ਚੁਣੋ
Select An Anganwadi center,ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਚੁਣੋ
Clarification regarding Cost of Smart phones,ਸਮਾਰਟ ਫੋਨਾਂ ਦੀ ਲਾਗਤ ਬਾਰੇ ਸਪਸਟੀਕਰਨ
Budge Budge - II,ਬੱਜ ਬੱਜ - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ਖਸਰੇ ਵਾਲੀ ਵੈਕਸੀਨ (ਐਮਸੀਵੀ)/ਖਸਰਾ ਅਤੇ ਰੁਬੈਲਾ (ਐਮਆਰ)-1ਜਾਪਾਨੀ ਇਨਸੇਫਲਾਈਟਿਸ (ਜੇਈ)-1**ਪੀਸੀਵੀ -ਬੂਸਟਰ
