eng,or
"It often indicates recent and severe weight loss, although it can also persist for a long time","ଏହା ପ୍ରାୟତ ସାମ୍ପ୍ରତିକ ଏବଂ ଗୁରୁତର ଓଜନ ହ୍ରାସକୁ ସୂଚାଇଥାଏ, ଯଦିଓ ଏହା ମଧ୍ୟ ଦୀର୍ଘ ସମୟ ପର୍ଯ୍ୟନ୍ତ ରହିପାରେ |"
 X. ACCESS FROM OUTSIDE INDIA, X. ବାହ୍ୟ ଭାରତରୁ ପ୍ରବେଶ
Kaliachak - II,କାଲିଆଚକ - II
Machkhowa Icds Project,ମାଚଖୋୱା ଆଇକ୍ସ ପ୍ରୋଜେକ୍ଟ
What is the minimum requirement to install Poshan Tracker App in mobile?,ମୋବାଇଲରେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଇନଷ୍ଟଲ୍ କରିବାର ସର୍ବନିମ୍ନ ଆବଶ୍ୟକତା କଣ କଣ ରହିଛି?
SHRI ANANDPUR SAHIB,ଶ୍ରୀ ଆନନ୍ଦପୁର ସାହିବ
"Khar (West),Santacruze (East)","ଖାର (ପଶ୍ଚିମ), ସାଣ୍ଟାକ୍ରୁଜ୍ (ପୂର୍ବ)"
Create new ticket,ନୂତନ ଟିକେଟ୍ ସୃଷ୍ଟି କରନ୍ତୁ
"You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","ଡକ୍ୟୁମେଣ୍ଟେସନ୍ ରେ ବର୍ଣ୍ଣିତ ଉପାୟ ଦ୍ୱାରା ଆପଣ କେବଳ ସାଇଟକୁ ପ୍ରବେଶ କରିବେ (କିମ୍ବା ପ୍ରବେଶ କରିବାକୁ ଚେଷ୍ଟା କରିବେ) ଏବଂ ଏହି ଚୁକ୍ତିନାମାଗୁଡିକର ସର୍ତ୍ତାବଳୀ ଏବଂ ସର୍ତ୍ତଗୁଡିକ ପାଳନ କରିବେ |ତୁମ ପାଇଁ ପ୍ରଯୁଜ୍ୟ ସମସ୍ତ କେନ୍ଦ୍ରୀୟ ଏବଂ ରାଜ୍ୟ ଆଇନ, ନିୟମ ଏବଂ ନିୟମାବଳୀ ଏବଂ ତୁମର ସାଇଟର ବ୍ୟବହାର ଏବଂ ଯେକୌଣସି ତୃତୀୟ-ପକ୍ଷ ଅଧିକାରକୁ ପ୍ରଭାବିତ କରିବ |"
ROURKELE CIVIL TOWNSHIP,ରାଉରକେଲା ସିଭିଲ ଟାଉନସିପ୍
You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.,You can participate in Swastha Balak Balika Spardha by registering through the website https://poshantracker.
in or by downloading ‘Poshan Tracker’ App from Google Play Store.,in or by downloading 'Poshan Tracker' App from Google Play Store.
Ldh Urban 4,ଏଲଡିଏଚ୍ ଅର୍ବାନ 4
Welcome!,ସ୍ବାଗତ!
The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at https://poshantracker.,"ନିମ୍ନଲିଖିତଗୁଡିକ ହେଉଛି ସେବା ସର୍ତ୍ତାବଳୀ (""ସର୍ତ୍ତାବଳୀ"") ଯାହାକି  https://poshantracker."
"in, and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).","in ରେ ହୋଷ୍ଟ ହୋଇଥିବା ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ପ୍ଲାଟଫର୍ମର ବ୍ୟବହାରକୁ ନିୟନ୍ତ୍ରଣ କରେ | ଏହାକୁ, ଏହାର ସହାୟକ ଏବଂ ଅନୁବନ୍ଧିତ (ସାମୂହିକ ଭାବରେ, ""ସାଇଟ୍"") |"
Burdwan - I,ବର୍ଦ୍ଧମାନ - I
Project 4 Singanallur,ପ୍ରୋଜେକ୍ଟ 4 ସିଙ୍ଗାନାଲୁର
Select Key Performance Indicator,କାର୍ଯ୍ୟଦକ୍ଷତା ସୂଚକ ଚୟନ କରନ୍ତୁ
Select An Anganwadi center,ଏକ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ଚୟନ କରନ୍ତୁ
Clarification regarding Cost of Smart phones,ସ୍ମାର୍ଟ ଫୋନର ମୂଲ୍ୟ ସମ୍ବନ୍ଧରେ ସ୍ପଷ୍ଟୀକରଣ
Budge Budge - II,ବଜ୍ ବଜ୍ - II
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1Japanese Encephalitis(JE)-1**PCV-Booster,ମିଳିମିଳା ଧାରଣକାରୀ ଟିକା (MCV) / ମିଳିମିଳା ଏବଂ ରୁବେଲା (MR) -1ଜାପାନିଜ ଏନସେଫାଲାଇଟିସ୍ (JE) -1**PCV- ବୁଷ୍ଟର୍
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned","ଠାରୁ ବିଭିନ୍ନ ପ୍ରକାରର ରିପୋର୍ଟ ତିଆରି କରାଯାଇପାରିବସାଧାରଣ ରିପୋର୍ଟଃଡାଉନଲୋଡ୍ କରାଯାଇଥିବା ଆପ୍ ସଂଖ୍ୟାପଞ୍ଜୀକୃତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରର ମୋଟ ସଂଖ୍ୟାପଞ୍ଜୀକୃତ ହିତାଧିକାରୀଙ୍କ ମୋଟ୍ ସଂଖ୍ୟା (ଜାତୀୟ / ରାଜ୍ୟ / ଜିଲ୍ଲା / ବ୍ଲକ ଆଧାରରେ)ପଞ୍ଜୀକୃତ ଗର୍ଭବତୀ ମହିଳାଙ୍କ ମୋଟ୍ ସଂଖ୍ୟା (ଜାତୀୟ / ରାଜ୍ୟ / ଜିଲ୍ଲା / ବ୍ଲକ ଆଧାରରେ)ପଞ୍ଜୀକୃତ ସ୍ତନପାନ କରୁଥିବା ମାଆମାନଙ୍କର ମୋଟ୍ ସଂଖ୍ୟା (ଜାତୀୟ / ରାଜ୍ୟ / ଜିଲ୍ଲା / ବ୍ଲକ ଆଧାରରେ)ମୋଟ ପିଲାଙ୍କ ସଂଖ୍ୟା (0-6 ମାସ) ପଞ୍ଜୀକୃତ (ଜାତୀୟ / ରାଜ୍ୟ / ଜିଲ୍ଲା / ବ୍ଲକ୍ ଆଧାରରେ)ମୋଟ ପିଲାଙ୍କ ସଂଖ୍ୟା (6ମାସ-3ବର୍ଷ) ପଞ୍ଜୀକୃତ (ଜାତୀୟ / ରାଜ୍ୟ / ଜିଲ୍ଲା / ବ୍ଲକ୍ ଆଧାରରେ)ମୋଟ ପିଲାଙ୍କ ସଂଖ୍ୟା (3-6 ବର୍ଷ) ପଞ୍ଜୀକୃତ (ଜାତୀୟ / ରାଜ୍ୟ / ଜିଲ୍ଲା / ବ୍ଲକ ଆଧାରରେ)ମାଆ ଓ ଶିଶୁ ସମ୍ୱନ୍ଧିତ ପୁଷ୍ଟିଃ21 ଦିନରେ କେତେ ଜଣ ହିତାଧିକାରୀ ଟିଏଚ୍ଆର୍ ପାଇଛନ୍ତିପ୍ରସବ ପରେ ପ୍ରଥମ କିଛି ଘଣ୍ଟାରେ କେତେ ଜଣ ପିଲାଙ୍କୁ ସ୍ୱତନ୍ତ୍ର ଭାବରେ ସ୍ତନପାନ କରାଗଲାକେତେ ଜଣ ସ୍ତନପାନ କରାଉଥିବା ମା'ଙ୍କୁ ଏଚ୍ସିଏମ୍ ଦିଆଯାଇଛିପ୍ରସବ ପରେ ପ୍ରଥମ ଘଣ୍ଟାରେ କେତେ ପିଲା ସ୍ୱତନ୍ତ୍ର ଭାବରେ ସ୍ତନପାନ କରାଗଲା|3-6 ବର୍ଷ ବୟସ୍କ ପିଲାମାନଙ୍କ ଠାରେ ହାରାହାରି କ୍ୟାଲସିୟମ୍ ସ୍ତର3-6 ବର୍ଷ ବୟସ୍କ ପିଲାମାନଙ୍କରେ ହାରାହାରି ଲୌହ ସ୍ତରମାସକୁ ଦିଆଯାଉଥିବା ମୋଟ ଟୀକାକରଣ ସଂଖ୍ୟା (ବ୍ଲକ, ଜିଲ୍ଲା, ରାଜ୍ୟ, ଜାତୀୟ ସ୍ତର)ପ୍ରତି ମାସରେ ଦିଆଯାଉଥିବା ଟୀକାକରଣ ନିର୍ଦ୍ଦିଷ୍ଟ ରିପୋର୍ଟ (ବିସିଜି / ଓପିଭି / ହେପାଟାଇଟିସ୍ ବି / ରୋଟାଭାଇରସ୍ / ପୋଲିଓ / ନିମୋକୋକାଲ୍ / ପେଣ୍ଟାଭାଲେଣ୍ଟ)ଏଡବ୍ଲ୍ୟୁସିର ଭିତ୍ତିଭୂମିଃଏଡବ୍ଲ୍ୟୁସିର ସଂଖ୍ୟା (ବ୍ଲକ, ଜିଲ୍ଲା, ରାଜ୍ୟ, ଜାତୀୟ ସ୍ତର)ବାଲଭାଟିକସ୍ର ମୋଟ ସଂଖ୍ୟା (ବ୍ଲକ ଜିଲ୍ଲା, ରାଜ୍ୟ, ଜାତୀୟ ସ୍ତର)ବିଶୁଦ୍ଧ ପାନୀୟ ଜଳ ସହିତ ସମୁଦାୟ କଏବଂକଣ (ବ୍ଲକ, ଜିଲ୍ଲା, ରାଜ୍ୟ, ଜାତୀୟ ସ୍ତର) |କାର୍ଯ୍ୟକାରୀ ଓଜନ କରିବା ମାପ ସହିତ ଏଡବ୍ଲ୍ୟୁସିର ମୋଟ ସଂଖ୍ୟା (ବ୍ଲକ, ଜିଲ୍ଲା, ରାଜ୍ୟ, ଜାତୀୟ ସ୍ତର)ବିଜୁଳି ସହିତ ଏଡବ୍ଲ୍ୟୁସିର ମୋଟ ସଂଖ୍ୟା (ବ୍ଲକ, ଜିଲ୍ଲା, ରାଜ୍ୟ, ଜାତୀୟ ସ୍ତର)ସରକାରୀ ମାଲିକାନାତ୍ୱ ଥିବା ଏଡବ୍ଲ୍ୟୁସିର ମୋଟ ସଂଖ୍ୟାବ୍ୟକ୍ତିଗତ ମାଲିକାନାତ୍ୱ ଥିବା ଏଡବ୍ଲ୍ୟୁସିର ମୋଟ ସଂଖ୍ୟା"
JALPAIGURI Sadar Adl,ଜଲପାଇଗୁଡି ସଦର ଆଡିସନାଲ୍
Mobile number need to be validated within a week,ଏକ ସପ୍ତାହ ମଧ୍ୟରେ ମୋବାଇଲ୍ ନମ୍ବର୍ ବୈଧ ହେବା ଆବଶ୍ୟକ
Currently a beneficiary can register by the help of an AWW,ବର୍ତ୍ତମାନ ଜଣେ ହିତାଧିକାରୀ AWW ସାହାଯ୍ୟରେ ପଞ୍ଜିକରଣ କରିପାରିବେ
Awareness for Lactating Mother Complimentary Feeding for Children,ପିଲାମାନଙ୍କ ପାଇଁ ମାତୃ ସ୍ତନ୍ୟପାନ କରାଇବା ପାଇଁ ସଚେତନତା
 W. Phaileng ICDS Project, ଡବ୍ଲୁ. ଫାଇଲେଙ୍ଗ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
 H. Bagh Rural,ଏଚ୍ ବାଗ ଗ୍ରାମୀଣ
New Poshan Tracker App - CSC-SPV Nodal Person,ନୂତନ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଆପ୍ - CSC-SPV ନୋଡାଲ୍ ବ୍ୟକ୍ତି
New Registration request,ନୂତନ ପଞ୍ଜିକରଣ ଅନୁରୋଧ
Rampurhat - I Addl.,ରାମପୁରହାଟ - I ଆଡିସନାଲ୍
UJJAIN - RURAL,ଉଜ୍ଜୈନ - ଗ୍ରାମୀଣ
Tufanganj II Addl,ତୁଫାନଗଞ୍ଜ II ଆଡିସନାଲ୍
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,ତୁମର ସାଇଟର ବ୍ୟବହାର ଏବଂ ସାଇଟର ଏପରି ବ୍ୟବହାରରୁ ଉତ୍ପନ୍ନ କୌଣସି ବିବାଦ ଭାରତର ନିୟମ ଏବଂ ଅଧିକାରର ସ୍ଥାନ ନୂଆଦିଲ୍ଲୀ ହେବ |
1.1. Information you provide to us.,1.1. ଆପଣ ଆମକୁ ପ୍ରଦାନ କରୁଥିବା ସୂଚନା |
How can one access Poshan Tracker Dashboard?,ଜଣେ କିପରି ପୋଷନ୍ ଟ୍ରାକର୍ ଦାସବୋର୍ଡକୁ ବ୍ୟବହାର କରିପାରିବେ?
Harda Gramin 1,ହାର୍ଡା ଗ୍ରାମୀଣ 1
Prevention of Anemia in children and adolescents girls,ଶିଶୁ ଏବଂ କିଶୋର ବାଳିକାମାନଙ୍କରେ ରକ୍ତହୀନତା ରୋକିବା
Gangarampur Addl. I. C. D. S Project,ଗଙ୍ଗାରାମପୁର ଆଡିସନାଲ୍  ଆଇ. ସି. ଡି. ଏସ୍ ପ୍ରକଳ୍ପ
Can a beneficiary register directly using application.,ଆପ୍ଲିକେସନ୍ ବ୍ୟବହାର କରି ଜଣେ ହିତାଧିକାରୀ ସିଧାସଳଖ ପଞ୍ଜିକରଣ କରିପାରିବେ କି|
BISHNUPUR 1 Addl,ବିଷ୍ଣୁପୁର 1 ଆଡିସନାଲ୍
Suri - I,ସୁରୀ - I
Mohd Pur Devmal,ମୋହଦ ପୁର ଦେବମାଲ
ROURKELA INDUSTRIAL ESTATE,ରାଉରକେଲା ଇଣ୍ଡଷ୍ଟ୍ରିଆଲ୍ ଇଷ୍ଟେଟ୍
Click on Show Results,ଶୋ' ଫଳାଫଳ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ |
Rjn Gramin 01,ଆରଜେଏନ୍ ଗ୍ରାମୀଣ 01
Terms of Service,ସେବାର ସର୍ତ୍ତାବଳୀ
Complementary Feeding - Diet Diversity,ସଂପନ୍ନ ଖାଦ୍ୟପେୟ - ଡାଏଟ୍ ବିବିଧତା
SHRI MUKTSAR SAHIB,ଶ୍ରୀ ମୁକ୍ତସର ସାହିବ
"The Ministry of Women and Child Development has rolled out Poshan Tracker application.The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.The system generates automated alerts to the critical last-mile beneficiaries.It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.Such a robust digital technology platform and management information system, will help the mission to scale efficiently, thereby generating and documenting significant positive impact.","ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ ପୋଶନ ଟ୍ରାକର ଆବେଦନକୁ ରୋଲ କରିଛି।ଲକ୍ଷ୍ୟ ହେଉଛି ମାତୃ ଓ ଶିଶୁ ପୁଷ୍ଟିହୀନତାର ଉନ୍ନତି ପାଇଁ ପୁଷ୍ଟିକର ପ୍ରଣାଳୀକୁ ଦୃ କରିବା, ସମସ୍ତ ସ୍ତରରେ କାର୍ଯ୍ୟାନ୍ୱୟନକୁ ବ ଇବା ଉପରେ ଧ୍ୟାନ ଦେବା | ପୋଶାନ୍ ଟ୍ରାକର୍ କେନ୍ଦ୍ରୀଭୂତ ଡାଟା ସ୍ଥାପତ୍ୟ ବ୍ୟବହାର କରି ନିର୍ମିତ, ଯାହା ଅନ୍ୟ ମନ୍ତ୍ରଣାଳୟ ଏବଂ ପ୍ରୋଗ୍ରାମର ଡିଜିଟାଲ୍ ଟେକ୍ନୋଲୋଜି ସିଷ୍ଟମ ସହିତ ମଧ୍ୟ ସମାନ ଅଟେ | ସିଷ୍ଟମ୍ ପ୍ରତ୍ୟେକ ହିତାଧିକାରୀଙ୍କୁ ଏକ ଡିଜିଟାଲ୍ କାର୍ଡ ମାଧ୍ୟମରେ ଏକ ଡିଜିଟାଲ୍ ପରିଚୟ ପ୍ରଦାନ କରେ ଏବଂ ଟେକ୍ନୋଲୋଜି ପ୍ଲାଟଫର୍ମ ସହିତ କଲ୍ ସେଣ୍ଟରର ସମ୍ମିଶ୍ରଣକୁ ଅନୁମତି ଦିଏ | ସିଷ୍ଟମ୍ ଶେଷ ମାଇଲ୍ ହିତାଧିକାରୀଙ୍କ ପାଇଁ ସ୍ୱୟଂଚାଳିତ ଆଲର୍ଟ ସୃଷ୍ଟି କରେ | ଏହା ହିତାଧିକାରୀ ଏବଂ ଡ୍ୟୁଟି ବହନକାରୀଙ୍କ ପ୍ରକୃତ ସମୟର ଉପସ୍ଥାନକୁ ଦଲିଲ କରି ବିତରଣ ବ୍ୟବସ୍ଥାର ଦକ୍ଷ ଅଡିଟ୍ ସୁନିଶ୍ଚିତ କରେ | ଏହିପରି ଏକ ଦୃ ଡିଜିଟାଲ୍ ଟେକ୍ନୋଲୋଜି ପ୍ଲାଟଫର୍ମ ଏବଂ ପରିଚାଳନା ସୂଚନା ପ୍ରଣାଳୀ, ମିଶନକୁ ଦକ୍ଷତାର ସହିତ ମାପିବାରେ ସାହାଯ୍ୟ କରିବ, ଯାହାଦ୍ୱାରା ମହତ୍ ପୂର୍ଣ୍ଣ ସକରାତ୍ମକ ପ୍ରଭାବ ସୃଷ୍ଟି ଏବଂ ଡକ୍ୟୁମେଣ୍ଟ୍ ହେବ |"
