eng,ml
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the ContentThe Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purposeYou will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","സൈറ്റ് ഉപയോഗിക്കുക അല്ലെങ്കിൽ പുനർനിർമ്മിക്കുക, പരിഷ്ക്കരിക്കുക, പ്രദർശിപ്പിക്കുക, പൊതുവായി അവതരിപ്പിക്കുക, വിതരണം ചെയ്യുക അല്ലെങ്കിൽ സൈറ്റിന്റെ അല്ലെങ്കിൽ ഉള്ളടക്കത്തിന്റെ ഡെറിവേറ്റീവ് വർക്കുകൾ സൃഷ്ടിക്കുകസൈറ്റിലേക്കും/അല്ലെങ്കിൽ ഉള്ളടക്കത്തിലേക്കുള്ള ആക്സസ് അല്ലെങ്കിൽ അവകാശങ്ങളെ ഫലപ്രദമായി നിയന്ത്രിക്കുന്ന ഏതെങ്കിലും സാങ്കേതിക നടപടികളെ മറികടക്കാൻ രൂപകൽപ്പന ചെയ്തിരിക്കുന്ന ഏതെങ്കിലും ഉപകരണം, പ്രോഗ്രാം അല്ലെങ്കിൽ സേവനം എന്നിവയ്ക്കൊപ്പം ഏതെങ്കിലും വിധത്തിൽ പരിമിതികളില്ലാതെ ഉള്ളടക്കം, മാനുവൽ ഡീകോഡ്, ഡീക്രിപ്റ്റ്, പരിഷ്ക്കരിക്കുക, അല്ലെങ്കിൽ റിവേഴ്സ് എഞ്ചിനീയർ സർട്ടിഫിക്കറ്റ് അല്ലെങ്കിൽ അടിസ്ഥാന അൽഗോരിതങ്ങൾ അല്ലെങ്കിൽ ഓട്ടോമാറ്റിക് ഉപകരണം അല്ലെങ്കിൽ പ്രോസസ്സ്, ഏതെങ്കിലും ആവശ്യത്തിനായിസൈറ്റിലൂടെ രജിസ്റ്റർ ചെയ്യുന്ന പങ്കാളികൾക്കായി തിരയാൻ നിങ്ങൾ ബോട്ട് സാങ്കേതികവിദ്യ ഉപയോഗിക്കില്ല; സംശയം ഒഴിവാക്കുന്നതിനായി, സൈറ്റിൽ സ്വയമേവയുള്ള സ്ക്രിപ്റ്റ് അധിഷ്ഠിതമോ ഓട്ടോമേറ്റഡ് സോഫ്റ്റ്വെയറോ ഉപയോഗിക്കുന്നതിൽ നിന്ന് ഇത് നിങ്ങളെ പ്രത്യേകം വിലക്കുന്നു, ഒപ്പം പങ്കാളിത്തം നടപ്പിലാക്കാൻ ഉപയോഗിക്കുന്ന സൈറ്റിലെ ഏതെങ്കിലും സുരക്ഷാ നടപടി, ആക്സസ് കൺട്രോൾ സിസ്റ്റം, അല്ലെങ്കിൽ മറ്റ് സാങ്കേതിക നിയന്ത്രണം അല്ലെങ്കിൽ അളവുകൾ എന്നിവ ഒഴിവാക്കുന്നതിൽ നിന്ന് നിങ്ങളെ തടയുന്നു, പരിമിതികൾ അല്ലെങ്കിൽ ഒരു മൊബൈൽ നമ്പറുമായി ബന്ധപ്പെട്ട പങ്കാളികളുടെ രജിസ്ട്രേഷൻ നിയമങ്ങളുടെ സമഗ്രത നിലനിർത്താൻ"
Training on ICT Platform under POSHAN Abhiyaan,പോഷൻ അഭിയാന്റെ കീഴിൽ ഐസിടി പ്ലാറ്റ്ഫോമിൽ പരിശീലനം
Barasat - I Addl.,ബരാസത്ത് - I എഡിഎൽ.
"Know more about stunting, wasting and underweight","മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയെക്കുറിച്ച് കൂടുതലറിയുക"
What information to be added in AWC forms?,AWC ഫോമുകളിൽ എന്ത് വിവരമാണ് ചേർക്കേണ്ടത്?
Mathavaram Rural @ Puzhal,മാതാവരം റൂറൽ @ പുഴൽ
How to revive your health if you are Moderately Wasted (MAM),നിങ്ങൾ മിതമായ രീതിയിൽ പാഴായെങ്കിൽ (MAM) നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം
AWC Workers Registered In Last 30 Days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ AWC വർക്കർമാർ രജിസ്റ്റർ ചെയ്തു
Daman & Diu,ദാമൻ ദിയു
Lahaul & Spiti,ലാഹോൾ സ്പിറ്റി
Katwa - I,കത്വ - I
OPEN A NEW TICKET,ഒരു പുതിയ ടിക്കറ്റ് തുറക്കുക
Lower Dibang Valley,ലോവർ ദിബാംഗ് വാലി
Click on above button to get this App,ഈ അപ്ലിക്കേഷൻ ലഭിക്കുന്നതിന് മുകളിലുള്ള ബട്ടണിൽ ക്ലിക്കുചെയ്യുക
Please Enter Valid Name,ദയവായി സാധുവായ പേര് നൽകുക
1. INFORMATION WE COLLECT,1. ഞങ്ങൾ ശേഖരിക്കുന്ന വിവരങ്ങൾ
Beneficiaries Registered In Last 30 Days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ രജിസ്റ്റർ ചെയ്ത ഗുണഭോക്താക്കൾ
Gopiballabhpur - II,ഗോപിബല്ലഭ്പൂർ - II
Darjeeling PulBazar.,ഡാർജിലിംഗ് പുൽബസാർ.
Addl,എഡിഡിഎൽ
Specifications of Smart phone and Technical Compatibility Testing,സ്മാർട്ട് ഫോണിന്റെ സ്പെസിഫിക്കേഷനുകളും ടെക്നിക്കൽ കോംപാറ്റിബിലിറ്റി ടെസ്റ്റിംഗും
Preparation During Pregnancy - For NewBorn Care & Family Planning,ഗർഭകാലത്തെ തയ്യാറെടുപ്പുകൾ - നവജാത ശിശു സംരക്ഷണത്തിനും കുടുംബാസൂത്രണത്തിനും
Please select Project,ദയവായി പ്രോജക്ട് തെരഞ്ഞെടുക്കുക
Please Select Query Related to,ദയവായി ബന്ധപ്പെട്ട ചോദ്യം തിരഞ്ഞെടുക്കുക
 IV. ACCOUNT REGISTRATION, IV. അക്കൌണ്ട് രജിസ്ട്രേഷൻ
Stunting ( Height for Age)-,മുരടിപ്പ് (പ്രായത്തിനനുസരിച്ച് ഉയരം)-
Binpur - II Adl.,ബിൻപൂർ - II എഡിഎൽ.
Pakyong Rural Project,പാക്യോങ് ഗ്രാമീണ പ്രോജക്ട്
Wasted Assessment Parameters,പാഴായ മൂല്യനിർണ്ണയ പാരാമീറ്ററുകൾ
Sangam Vihar Ii,സംഘം വിഹാർ II
Shri Ram Colony,ശ്രീറാം കോളനി
Ranaghat 1 Exsiting,രണഘട്ട് 1 എക്സൈറ്റിംഗ്
Mathabhanga I Addl,മാതഭംഗ I എഡിഡിഎൽ
Stunting is the impaired growth and development that children experience from poor nutrition,പോഷകാഹാരക്കുറവ് മൂലം കുട്ടികൾ അനുഭവിക്കുന്ന വളർച്ചയുടെയും വികാസത്തിന്റെയും വൈകല്യമാണ് മുരടിപ്പ്
Children in the age group of 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വിഭാഗം കുട്ടികളുടെ വിഭാഗം
"Poshan Tracker Dashboard can be accessed by signing onto the dashboard.Dashboard can be accessed by clicking the link https://poshantracker.in/admin Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard.","ഡാഷ്ബോർഡിലേക്ക് സൈൻ ഇൻ ചെയ്തുകൊണ്ട് പോഷൻ ട്രാക്കർ ഡാഷ്ബോർഡ് ആക്സസ്സുചെയ്യാനാകും. https://poshantracker. in/admin എന്ന ലിങ്ക് ക്ലിക്കുചെയ്തുകൊണ്ട് ഡാഷ്ബോർഡ് ആക്സസ് ചെയ്യാൻ കഴിയും.ദേശീയ, സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ തലങ്ങളിലെ നാമനിർദ്ദേശം ചെയ്യപ്പെട്ട നോഡൽ ലെവൽ ഓഫീസർമാർക്ക് മാത്രമേ ഡാഷ്ബോർഡ് ആക്സസ് ചെയ്യുന്നതിന് സവിശേഷമായ യോഗ്യതാപത്രങ്ങൾ നൽകിയിട്ടുള്ളൂ."
Please enter valid Weight,ദയവായി സാധുവായ ഭാരം നൽകുക
Khargone (West Nimar),ഖാർഗോൺ
 Md. Bazar Addl., എം. ഡി. ബസാർ എഡിഡിഎൽ.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
Who are the target userbase of Poshan Tracker App?,പോഷൻ ട്രാക്കർ ആപ്പിന്റെ ടാർഗെറ്റ് യൂസർബേസ് ആരാണ്?
Kanpur Nagar City 1,കാൺപൂർ നഗർ സിറ്റി 1
How Poshan Tracker Works,പോഷൻ ട്രാക്കർ എങ്ങനെ പ്രവർത്തിക്കുന്നു
Kalna - I Addl.,കൽന - I എഡിഎൽ.
Home visits and Counselling,ഭവന സന്ദർസനങ്ങളും കൌൺസിലിംഗും
Kusheshwar Asthan Purbi,കുശേശ്വര് ആസ്താൻ പുർബി
