eng,gu
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned","એપમાંથી વિવિધ અહેવાલો પેદા કરી શકાય છેસામાન્ય અહેવાલોઃએપ્લિકેશન ડાઉનલોડની સંખ્યાનોંધાયેલ આંગણવાડી કેન્દ્રોણી સંખ્યાનોંધાયેલા કુલ લાભાર્થીઓની સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા /ખંડ)નોંધાયેલ સગર્ભા સ્ત્રીઓની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)નોંધાયેલ સ્તનપાન કરાવતી માતાની કુલ સંખ્યા (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)નોંધાયેલા બાળકોની કુલ સંખ્યા (0-6 મહિના) (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)નોંધાયેલ કુલ બાળકોની સંખ્યા (6 મહિના -3 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)કુલ બાળકોની સંખ્યા (3-6 વર્ષ) નોંધાયેલ (રાષ્ટ્રીય / રાજ્ય / જિલ્લા / ખંડ મુજબ)માતા અને બાળકનું પોષણઃ21 દિવસમાં કેટલા લાભાર્થીઓને ટી. એચ. આર. મળી?ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?3-6 વર્ષનાં બાળકોમાં કેલ્શિયમનું સરેરાશ કક્ષાએ3-6 વર્ષનાં બાળકોમાં લોહતત્વનું સરેરાશ કક્ષાએદર મહિને વહીવટ કરેલ રસીકરણની કુલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)દર મહિને વહીવટ કરેલ રસીની ચોક્કસ રીપોર્ટ (બીસીજી / ઓપીવી / હેપેટાઇટિસ બી / રોટાવાયરસ / પોલિયો / ન્યુમોકોકલ / પેન્ટાવેલેન્ટ)આંગણવાડી કેન્દ્રનું માળખું :આંગણવાડીઓની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)બાલવટિકાઓની કુલ સંખ્યા (ખંડ જિલ્લો, રાજ્ય, રાષ્ટ્રીય કક્ષા)પીવાના શુધ્ધ પાણી સાથે આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)કાર્યકારી વજનના ધોરણ સાથે આંગણવાડીઓણી કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)વીજળીણી સુવિધા વાળા આંગણવાડી કેન્દ્રોની કૂલ સંખ્યા (ખંડ , જિલ્લા, રાજ્ય, રાષ્ટ્રીય કક્ષાએ)સરકારની માલિકીની હોય એવા આંગણવાડી કેન્દ્રોની કુલ સંખ્યાખાનગી માલિકીની છે એવા આંગણવાડી કેન્દ્રો ની કુલ સંખ્યા"
JALPAIGURI Sadar Adl,જલપાઈગુરી સદર એડીએલ
Mobile number need to be validated within a week,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે
Awareness for Lactating Mother Complimentary Feeding for Children,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ
 W. Phaileng ICDS Project, ડબ્લ્યુ. ફાઈલેંગ આઈસીડીએસ પ્રોજેક્ટ
 H. Bagh Rural, એચ. બાઘ ગ્રામીણ
New Poshan Tracker App - CSC-SPV Nodal Person,નવી પોષણ ટ્રેકર એપ - CSC-SPV નોડલ પર્સન
New Registration request,નવી નોંધણી માટે વિનંતી
Rampurhat - I Addl.,રામપુરહાટ-I એડીડીએલ.
UJJAIN - RURAL,ઉજ્જૈન-ગ્રામીણ
Tufanganj II Addl,તુફાનગંજ II એડીડીએલ
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,સાઇટનો તમારો ઉપયોગ અને સાઇટના આવા ઉપયોગથી ઉદ્ભવતા કોઈપણ વિવાદ ભારતના કાયદાને આધીન છે અને અધિકારક્ષેત્રનું સ્થાન નવી દિલ્હી હશે.
1.1. Information you provide to us.,1.1. તમે અમને પ્રદાન કરો છો તે માહિતી.
How can one access Poshan Tracker Dashboard?,પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?
Harda Gramin 1,હર્દા ગ્રામીણ 1
Prevention of Anemia in children and adolescents girls,બાળકો અને કિશોરીઓમાં એનિમિયાનું નિવારણ
Gangarampur Addl. I. C. D. S Project,ગંગારામપુર એડીડીએલ. આઈ. સી. ડી. એસ પ્રોજેક્ટ
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.
BISHNUPUR 1 Addl,બીશનુપુર 1 એડીડીએલ
Suri - I,સુરી-I
Mohd Pur Devmal,મોહદ પુર દેવમલ
ROURKELA INDUSTRIAL ESTATE,રૌરકેલા ઈન્ડસ્ટ્રીયલ એસ્ટેટ
Click on Show Results,પરિણામો બતાવો પર ક્લિક કરો
Rjn Gramin 01,આરજેએન ગ્રામીણ 01
Terms of Service,સેવાની શરતો
Complementary Feeding - Diet Diversity,પૂરક ખોરાક - આહારલક્ષી વિવિધતા
SHRI MUKTSAR SAHIB,શ્રી મુખ્તાર સાહિબ
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,મહિલા અને બાળ વિકાસ મંત્રાલયે પોશન ટ્રેકર એપ્લિકેશન રદ કરી છે.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","ધ્યેય એ છે કે તમામ સ્તરે અમલીકરણની અડચણોને મજબૂત કરવા પર કેન્દ્રિત, માતા અને બાળકના કુપોષણ સુધારવા માટેના પોષણ પ્રણાલીને મજબૂત બનાવવાની અભિગમને મજબૂત બનાવવી."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","પોશન ટ્રેકર કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે, જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ તકનીકી સિસ્ટમો સાથે પણ ગોઠવે છે."
