eng,as
"There are various reports that can be generated fromGeneral Reports:Number of app  downloadsTotal number of Anganwadi centers registeredTotal number of beneficiaries registered (National/state/district/block wise)Total Number of pregnant women registered(National/state/district/block wise)Total Number of  lactating mothers registered(National/state/district/block wise)Total Number of children (0-6months) registered(National/state/district/block wise)Total Number of children (6months-3years) registered(National/state/district/ block wise)Total Number of children (3-6years) registered(National/state/district/ block wise)Maternal and child nutrition:How many beneficiaries got THR in 21 daysHow many children breastfed exclusively in the first hour after deliveryHow many lactating mothers are given HCMAverage level of calcium in children aged 3-6 yearsAverage level of iron in children aged 3-6yearsTotal number of vaccinations administered per month (block, district, state, national level)Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/PentavalentAWC infrastructure:Number of AWCs (block, district, state, national level)Total number of Balvatikas (block district, state, national level)Total number of AWCs (block, district, state, national level) with clean drinking waterTotal number of AWCs (block, district, state, national level) with working weighing scaleTotal number of AWCs (block, district, state, national level) with electricityTotal number of AWCs that are government ownedTotal number of AWCs that are privately owned","বিভিন্ন প্ৰতিবেদন যিবোৰ সৃষ্টি কৰিব পাৰেসাধাৰণ প্ৰতিবেদনঃঃসাধারণ রিপোর্টসৰ্বমুঠ পঞ্জীভুক্ত অংগনৱাডী কেন্দ্ৰৰ সংখ্যাসৰ্বমুঠ পঞ্জীভুক্ত হিতাধিকাৰীৰ সংখ্যা (ৰাষ্ট্ৰীয/ৰাজ্য/জিলা/খণ্ড অনুসৰি)সৰ্বমুঠ পঞ্জীভু্ক্ত গৰ্ভৱতী মহিলাৰ সংখ্যা (ৰাষ্ট্ৰীয/ৰাজ্য/জিলা/খণ্ড অনুসৰি)সৰ্বমুঠ স্তন্যপান কৰাই থকা মহিলাৰ সংখ্যা (ৰাষ্ট্ৰীয/ৰাজ্য/জিলা/খণ্ড অনুসৰি)সৰ্বমুঠ শিশুৰ (০-৬ মাহ) সংখ্যা (ৰাষ্ট্ৰীয/ৰাজ্য/জিলা/খণ্ড অনুসৰি)সৰ্বমুঠ শিশুৰ (৬ মাহ-৩ বছৰ) সংখ্যা (ৰাষ্ট্ৰীয/ৰাজ্য/জিলা/খণ্ড অনুসৰি)সৰ্বমুঠ শিশুৰ (৩-৬ বছৰ) সংখ্যা (ৰাষ্ট্ৰীয/ৰাজ্য/জিলা/খণ্ড অনুসৰি)মাতৃ আৰু শিশুৰ পুষ্টিঃ২১ দিনত কিমান জন হিতাধিকাৰীযে THR লাভ কৰিছিলপ্ৰসৱৰ পিছত প্ৰথম ঘণ্টাত কিমানটা শিশুৱে কেৱল স্তন্যপান কৰিছিলকেইগৰাকী স্তন্যপান কৰাই থকা মাতৃক HCM দিযা হৈছেপ্ৰসৱৰ পিছত প্ৰথম ঘণ্টাত কিমানটা শিশুৱে কেৱল স্তন্যপান কৰিছিল৩-৬ বছৰ বযসৰ শিশুৰ ক্ষেত্ৰত কেলচিযামৰ গড স্তৰ৩-৬ বছৰ বযসৰ শিশুৰ ক্ষেত্ৰত আযৰনৰ গড স্তৰপ্ৰতি মাহে প্ৰদান কৰা মুঠ টিকাকৰণৰ সংখ্যা (খণ্ড, জিলা, ৰাজ্য, ৰাষ্ট্ৰীয স্তৰ)প্ৰতি মাহে প্ৰদান কৰা টিকাকৰণ নিৰ্দিষ্ট প্ৰতিবেদন (বিচিজি/অ'পিভি/হেপাটাইটিছ বি/ৰোটাভাইৰাছ/পলিঅ/নিউমোকোকল/পেণ্টাভেলেণ্ট)AWC আন্তঃগাঁথনিঃAWCৰ সংখ্যা (খণ্ড, জিলা, ৰাজ্য, ৰাষ্ট্ৰীয স্তৰ)বলৱতিকাৰ মুঠ সংখ্যা (খণ্ড জিলা, ৰাজ্য, ৰাষ্ট্ৰীয পৰ্যায)বিশুদ্ধ খোৱা পানীৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয পৰ্যায) সংখ্যাকাৰ্যকৰী ওজন স্কেলৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয পৰ্যায) সংখ্যাবিদ্যু ৎৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয পৰ্যায) সংখ্যাচৰকাৰী মালিকানাধীন মুঠ AWCৰ সংখ্যাব্যক্তিগত মালিকানাধীন মুঠ AWCৰ সংখ্যা"
JALPAIGURI Sadar Adl,জলপাইগুৰি সদৰ আদল
Mobile number need to be validated within a week,ম'বাইল এসপ্তাহৰ ভিতৰত বৈধ কৰিব লাগিব
Currently a beneficiary can register by the help of an AWW,বৰ্তমান এগৰাকী হিতাধিকাৰীযে এটা AWW-ৰ সহাযত পঞ্জীযন কৰিব পাৰে
Awareness for Lactating Mother Complimentary Feeding for Children,শিশুসকলৰ বাবে পৰিপূৰক খাদ্য প্ৰদান কৰাত দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা
 W. Phaileng ICDS Project,ফেলেং আই. চি. ডি. এছ. প্ৰকল্প
 H. Bagh Rural, এইচ. বাগ গ্ৰাম্য
New Poshan Tracker App - CSC-SPV Nodal Person,নতুন পোষণ ট্ৰেকাৰ এপ - CSC-SPV ন'ডেল পাৰ্চন
New Registration request,নতুন পঞ্জীযন অনুৰোধ
Rampurhat - I Addl.,ৰামপুৰহাট - I এডল।
UJJAIN - RURAL,উজ্জযিনী - গ্ৰাম্য
Tufanganj II Addl,তুফানগঞ্জ II এডল
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,আপুনি কৰা চাইটটোৰ ব্যৱহাৰ আৰু চাইটটোৰ এনে বযৱহাৰৰ পৰা উদ্ভৱ হোৱা কোনো বিবাদ ভাৰতীয আইনৰ অনুমোদন সাপেক্ষ আৰু এক্তিযাৰৰ স্থান নতুন দিল্লী হ'ব।
1.1. Information you provide to us.,1.1. আপুনি আমাক যোগান ধৰা তথ্য।
How can one access Poshan Tracker Dashboard?,কোনো এজনে কেনেকৈ পোষণ ট্ৰেকাৰ ডাশ্বব'ৰ্ডত প্ৰৱেশ কৰিব পাৰে?
Harda Gramin 1,হৰদা গ্ৰামীণ 1
Prevention of Anemia in children and adolescents girls,শিশু আৰু কিশোৰী সকলৰ মাজে এনিমিযা হোৱাত বাধা দিযা
Gangarampur Addl. I. C. D. S Project,গংগাৰামপুৰ আড্ডল।আই.চি.ডি.এছ. প্ৰকল্প
Can a beneficiary register directly using application.,এগৰাকী হিতাধিকাৰীযে পোনপটীযাকৈ এপ্লিকেচন ব্যৱহাৰ কৰি পঞ্জীযন কৰিব পাৰিব নে।।
BISHNUPUR 1 Addl,বিষ্ণুপুৰ 1 এডল
Suri - I,চুৰি - I
Mohd Pur Devmal,মহম্মদ পুৰ দেৱমল
ROURKELA INDUSTRIAL ESTATE,ৰাউৰকেলা ইণ্ডাষ্ট্ৰিযেল ইষ্টেট
Click on Show Results,ৰিজাল্ট দেখুৱাওকত ক্লিক কৰক
Rjn Gramin 01,আৰজন গ্ৰামীণ 01
Complementary Feeding - Diet Diversity,পৰিপূৰক খাদ্য প্ৰদান - খাদ্যৰ বৈচিত্ৰ্য
SHRI MUKTSAR SAHIB,শ্ৰী মুক্তচৰ চাহিব
The Ministry of Women and Child Development has rolled out Poshan Tracker application.,টি মিনিস্ট্রি অফ ওমেন এন্ড চাইল্ড ডেভেলপমেন্ট হস্ রল্লেদ আউট পোষণ ট্র্যাকার এপ্লিকেশন.
"The goal is to follow nutrition systems strengthening approach for improving maternal and child undernutrition, focused on strengthening implementation bottlenecks at all levels.","টি গোযাল ২ তো ফলো নিউট্রিশন সিস্টেমস স্ট্রেঞ্জথেনিং এপ্রোচ ফর ইম্প্রোভিং ম্যাটার্নাল এন্ড চাইল্ড উন্দের্নউট্রিশন, ফোকাসেদ ও স্ট্রেঞ্জথেনিং ইমপ্লিমেন্টেশন বটতলেনক্স এত অল লেভেলস."
"The Poshan Tracker is built using centralized data architecture, that also aligns with the digital technology systems of other ministries and programs.","টি পোষণ ট্র্যাকার ২ বিল্ট উসিং সেন্ট্রালাইজড ডাটা আর্কিটেকচার, ্থাৎ অল্সো এলিগেন্স উইথ টি ডিজিটাল টেকনোলজি সিস্টেমস অফ ওদের মিনিস্ট্রিজ এন্ড প্রোগ্রামস."
"The system provides a digital identity to each beneficiary through a digital card, and allows convergence of call centre with the technology platform.","টি সিস্টেম প্রভিডেস এ ডিজিটাল আইডেন্টিটি তো এলাচ বেনিফিশিযারি থ্রু এ ডিজিটাল কার্ড, এন্ড লোউস কোনভার্জেন্স অফ কল সেন্টারে উইথ টি টেকনোলজি প্লাটফর্ম."
The system generates automated alerts to the critical last-mile beneficiaries.,টি সিস্টেম জেনেরাটস অটোমেটেড এলার্টস তো টি ক্রিটিকাল লাস্ট-মাইল বেনেফিসিযারিজ.
"It also ensures efficient audit of the delivery system, by documenting real time attendance of beneficiaries and duty bearers.","ইট অল্সো ইন্সুরেন্স এফিসিযেন্ট অডিট অফ টি ডেলিভারি সিস্টেম, বই ডকুমেন্টিং রিযেল টাইম অ্যাটেনডেন্স অফ বেনেফিসিযারিজ এন্ড ডিউটি বেযারেরস."
